"ref","name","@lat","@lon"
,"小机",35.5085651,139.6001231
,"東神奈川",35.4779431,139.6333271
,"相原",35.6069203,139.3317176
"KO40","京王永山",35.6302581,139.4483564
"KO45","橋本",35.5949421,139.3441473
"KO18","調布",35.6518651,139.544493
"KO36","京王稲田堤",35.6340296,139.5315503
,"高松",35.710102,139.4133094
,"甲州街道",35.6782778,139.4092663
,"柴崎体育館",35.6899932,139.4094397
,"立飛",35.7144751,139.4173086
,"泉体育館",35.7184916,139.4197308
,"砂川七番",35.7231354,139.4181567
,"大塚・帝京大学",35.6368833,139.4164516
"SS33","玉川上水",35.7320261,139.4179263
,"松が谷",35.6318159,139.4220287
,"中央大学・明星大学",35.6418657,139.4087619
,"桜街道",35.7390836,139.4166469
,"上北台",35.7458297,139.4158199
,"高幡不動",35.6612885,139.4151851
,"万願寺",35.6712259,139.4201102
,"多摩動物公園",35.648548,139.4036949
,"立川南",35.6961191,139.4126249
,"立川北",35.6993779,139.4125212
"OT01","五月台",35.600141,139.4936775
"OT03","黒川",35.6131743,139.4707869
"OT07","唐木田",35.6167028,139.4117384
"OT05","小田急永山",35.6299131,139.4482154
11,"海の公園柴口",35.3421054,139.6359064
10,"八景島",35.3408226,139.640836
12,"海の公園南口",35.3371661,139.6320353
6,"幸浦",35.3583376,139.6437391
8,"福浦",35.3496489,139.6485436
7,"産業振興センター",35.3534255,139.646291
,"開成",35.3262907,139.1359251
,"東海大学前",35.373169,139.271254
,"足柄",35.2719379,139.1544252
"OH14","成城学園前",35.6399502,139.5984411
"OH20","生田",35.6149354,139.5413624
"OH25","鶴川",35.5831769,139.4820835
"OH22","百合ヶ丘",35.6090659,139.5161527
,"秦野",35.3702903,139.2257265
"OH15","喜多見",35.6364976,139.5867097
"OH24","柿生",35.5895818,139.4975491
,"螢田",35.285015,139.1520782
,"愛甲石田",35.4176073,139.343943
,"本厚木",35.4393363,139.3643027
,"新松田",35.3447047,139.1396051
"OH26","玉川学園前",35.5642849,139.4638945
"OH09","梅ヶ丘",35.656241,139.654343
,"富水",35.2963073,139.1453206
"OH13","祖師ヶ谷大蔵",35.6432912,139.6097735
"OH21","読売ランド前",35.6147892,139.5279606
,"鶴巻温泉",35.3808339,139.2776411
"OH04","代々木八幡",35.6696211,139.6888398
"OH11","経堂",35.6512711,139.6366818
"OH12","千歳船橋",35.6473851,139.6238205
"OH16","狛江",35.6323394,139.5774074
"OH19","向ヶ丘遊園",35.6172621,139.5646138
"OH17","和泉多摩川",35.6275185,139.5737097
"OH05;C01","代々木上原",35.669008,139.679787
,"伊勢原",35.3959703,139.3134975
"OH10","豪徳寺",35.653565,139.6468537
,"海老名",35.4527257,139.3909009
"OH31","座間",35.4807019,139.3999431
,"渋沢",35.3741085,139.1847113
"KO26","中河原",35.6596172,139.4578941
"KO22","多磨霊園",35.6662428,139.5026237
"KO32","長沼",35.6427854,139.3660266
"KO19","西調布",35.6570472,139.5301869
"KO27","聖蹟桜ヶ丘",35.6507982,139.4468933
"KO28","百草園",35.6574378,139.4313604
"KO23","東府中",35.6689584,139.4950583
"KO25","分倍河原",35.6684766,139.4685064
"S01","新宿",35.6889062,139.6999118
"KO24","府中",35.6722053,139.480175
"KO21","武蔵野台",35.6642555,139.5109389
"KO30","南平",35.6550985,139.3925213
"KO20","飛田給",35.660252,139.5233684
"KO31","平山城址公園",35.6475285,139.3801778
"KO51","狭間",35.6406875,139.2932569
"KO50","めじろ台",35.6435454,139.3081073
"KO49","山田",35.6443652,139.3210906
"KO48","京王片倉",35.6443626,139.3370025
"KO33","北野",35.644382,139.3542656
,"原当麻",35.529245,139.375091
,"入谷",35.47871,139.391703
,"上溝",35.5577156,139.3632297
,"倉見",35.3949034,139.3783896
,"海老名",35.4542854,139.3892223
,"寒川",35.3676344,139.387398
,"香川",35.3562043,139.3999184
,"門沢橋",35.4064817,139.3803426
,"番田",35.545434,139.363067
,"相武台下",35.4932803,139.3861945
,"社家",35.4207323,139.3771664
,"下溝",35.5182402,139.3805975
,"宮山",35.3818763,139.3797044
,"北茅ヶ崎",35.3391923,139.4077374
"IN05","下北沢",35.6615782,139.6671868
"IN03","駒場東大前",35.6589024,139.6833626
"IN13","富士見ヶ丘",35.684867,139.607019
"IN15","三鷹台",35.692207,139.5890321
"IN12","高井戸",35.6833014,139.6149602
,"明覚",36.003269,139.288954
,"箱根ヶ崎",35.7714004,139.3467277
,"北八王子",35.6693571,139.3634112
,"折原",36.0962603,139.1952598
,"用土",36.1534484,139.2010083
,"松久",36.172733,139.182508
,"竹沢",36.0754682,139.2301833
,"毛呂",35.9404232,139.3094237
,"児玉",36.1926268,139.1359581
,"寄居",36.1180302,139.1938273
,"金子",35.8110037,139.3285178
,"小宮",35.6855229,139.3688398
,"丹荘",36.2167492,139.1022748
,"小川町",36.0589385,139.2609401
,"東福生",35.7459234,139.3359778
,"行田市",36.1436598,139.459224
,"南羽生",36.1498389,139.5566458
,"花崎",36.1099477,139.6335577
,"鷲宮",36.0963982,139.6568724
